Tag (Member),Group (Target)
Dimsum,Asian
Pad Thai,Asian
Sushi,Asian
Pho,Asian
Dumplings,Asian
Bubble Tea,Asian
Tapsilog,Asian
Pancit,Asian
Sinigang,Asian
Noodles,Asian
Ramen,Asian
Kebab,Indian
Kulfi,Indian
Chaat,Indian
Momo,Indian
Biryani,Indian
Paratha,Indian
Burritos,Mexican
Tacos,Mexican
Pelmeni,Russian
Borscht,Russian
Sushi ,Japanese 
Pizza Pasta,Italian
Koshary ,Egyptian
Mansaf,Jordanian
Harees ,Emirati
Luqaimat ,Emirati
Kabsa ,KSA
Doner ,Turkish
Juices,Healthy
Bowls,Healthy
Protein Shake,Healthy
Vegan,Healthy
Keto,Healthy
Gluten-free,Healthy
Acai,Healthy
Salads,Healthy
